Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,26-038,1997,11.1,0.54,0.27,0.27,0.27,0,0.36,0.9,0.18,0
Bukayo Saka,eng ENG,FW,Arsenal,21-226,2001,29,1.55,0.86,0.62,0.41,0.52,0.48,2.03,0.62,0
Mohamed Salah,eg EGY,FW,Liverpool,30-308,1992,28.7,0.49,0.31,0.1,0.1,0.28,0.17,0.66,0.1,0
Gianluca Scamacca,it ITA,FW,West Ham,24-108,1999,10.3,0.97,0.49,0.1,0.29,0.58,0.39,1.36,0.49,0
Kevin Schade,de GER,FW,Brentford,21-143,2001,4.1,1.95,1.22,1.22,0.49,0.24,0.73,2.68,0.49,0
Ellis Simms,eng ENG,FW,Everton,22-104,2001,2.4,0,0,0,0,0,0,0,0.42,0
Luis Sinisterra,co COL,FW,Leeds United,23-306,1999,9,2.33,1.56,0.89,1,0.44,0.89,3.22,0.11,0
Dominic Solanke,eng ENG,FW,Bournemouth,25-217,1997,24.8,0.36,0.2,0.24,0.04,0.08,0.08,0.44,1.45,0
Manor Solomon,il ISR,FW,Fulham,23-269,1999,4.6,4.13,2.39,2.39,1.3,0.43,0.87,5,0.65,0
Jay Stansfield,eng ENG,FW,Fulham,20-146,2002,1,0,0,0,0,0,1,1,1,0
Crysencio Summerville,nl NED,FW,Leeds United,21-171,2001,12.6,1.83,1.27,0.87,0.87,0.08,0.71,2.54,0.71,0
Sam Surridge,eng ENG,FW,Nott'ham Forest,24-265,1998,3.4,1.47,0,0.29,0.88,0.29,0,1.47,1.76,0
Tetê,br BRA,FW,Leicester City,23-063,2000,5.7,2.11,1.05,0.7,1.05,0.35,0.35,2.46,0.35,0
Ivan Toney,eng ENG,FW,Brentford,27-034,1996,28.9,0.76,0.42,0.14,0.31,0.31,0.42,1.18,1.18,0
Leandro Trossard,be BEL,FW,Arsenal,28-136,1994,6.4,1.09,0.78,0.31,0.16,0.63,0.63,1.72,0,0
Jamie Vardy,eng ENG,FW,Leicester City,36-098,1987,16.2,0.49,0.25,0.25,0.06,0.19,0.12,0.62,1.42,0
Carlos Vinícius,br BRA,FW,Fulham,28-025,1995,8.3,0.24,0,0,0.24,0,0,0.24,0.72,0
Ollie Watkins,eng ENG,FW,Aston Villa,27-110,1995,27.8,0.54,0.36,0.11,0.32,0.11,0.29,0.83,1.15,0
Danny Welbeck,eng ENG,FW,Brighton,32-144,1990,16.4,0.79,0.37,0,0.37,0.43,0.18,0.98,0.85,0
